,NAME,START,POST_CHISQ,POST_GLS,POST_MCMC,POST_MCMC_UNC,SEED
0,SCA 33,12.3073,13.732013663713545,13.64324156383138,13.847609635977227,0.26030888942587144,868
1,SCA 35,16.243115,16.224271259676254,16.209145829447348,16.563652473318378,0.6414942136845482,868
2,SCA 39,8.010771,8.0037,8.0037,8.160084953313069,0.7349532010583627,868
3,SCA 41,12.037969,12.006000000000004,12.006,12.951014218003193,2.2464255726006255,868
4,SCR 33,11.127555,12.840351723700218,12.820187720178746,12.84916090132448,0.15636762848132943,868
5,SCR 35,14.539451,14.400908841622691,14.390371951726593,14.383769048476447,0.28198556066640057,868
6,SCR 39,7.196032,11.680638557442625,11.653711546262137,13.01707781357397,3.1139639348744415,868
7,SCR 41,10.957713,3.860239646431729,4.518996596329091,12.15141506181145,12.595076674315623,868
8,ABS 33,575.321483,574.7021275042777,574.7185996395407,574.7574296369372,0.9706292897357796,868
9,ABS 35,681.206917,680.9043573739682,680.8837555736069,680.8678009278954,1.125929414939493,868
10,ABS 39,1014.286652,1019.289472908986,1019.1738196844195,1018.0826033520337,3.623868197986382,868
11,ABS 41,1379.294684,1388.5459569087761,1387.8681606236914,1382.3788060629875,13.88573194908949,868
12,FIS 33,530.547892,529.8876649828269,529.9160843216971,529.9332744965603,1.0774238478093396,868
13,FIS 35,583.096931,582.7591842023841,582.7497862871905,582.7357210928517,1.0911954663366494,868
14,FIS 39,745.356348,747.7485967524066,747.7001044789369,746.9489986619938,2.8936054337362025,868
15,FIS 41,1015.927048,1022.097913374038,1021.6359476806535,1017.7686006757507,10.151059048293343,868
16,NUB 33,2.490351,2.491277558851901,2.491129219362833,2.491205652328627,0.003306319924901241,868
17,NUB 35,2.428843,2.4299015861926594,2.4297763673851365,2.4297780309717494,0.002932605189305804,868
18,NUB 39,2.880714,2.8827282017292593,2.8825447308044736,2.882686422399116,0.0038844865394246056,868
19,NUB 41,2.944448,2.944392001537564,2.9442173205828253,2.9441920899767866,0.004522436367015723,868
20,NUB 52,3.766402,3.7667112048776947,3.766631762467599,3.766625241684867,0.0035203407856116927,868
21,HLF 33,1.592,1.5886038114406187,1.5885581014124972,1.5891010673072634,0.01601065381246678,868
22,HLF 34,2.457,2.469339439966282,2.46931216850823,2.469118212585482,0.008228238305685946,868
23,HLF 39,2.411,2.4202624651750924,2.420246370257815,2.4227340424108896,0.01139934430052062,868
24,HLF 41,14.35,1.4328999999999912,1.4329,1.4341443240658454,0.021289875730449378,868
25,CAP 34,95.8369,95.89999999999999,95.9,96.02165239590323,1.4554587662393412,868
