,Author,Reference,MeasureFunc,Notes,InputValue,Uncertainty,WeightedResidual,No
0,ADAMCHUCK,1988,CA(35) / FIS(35) ,NA,0.169,2.1,,172
1,REED,2004,NUB(33),NA,2.511,5.2,,174
2,REED,2004,NUB(35),NA,2.445,5.2,,175
3,LOUNSBURY,"EPJ WoC 146, 2017 New fit... (original 1970)",CA(33)/FIS(33),NA,0.0861,2.44,,176
4,LOUNSBURY,"EPJ WoC 146, 2017 New fit... (original 1970)",CA(35)/FIS(35),NA,0.1697,1.7,,177
5,LOUNSBURY,"EPJ WoC 146, 2017 New fit... (original 1970)",CA(39)/FIS(39),NA,0.3558,1.7,,178
6,LAPONCHE,1972(2),FA(39) / FA(35),7,1.6491,0.583,0.329,1
7,CORNISH,1956(2),CAP(39),8,312.0,4.49,0.179,2
8,HALPERIN,1956(2),CAP(33),10,49.53,6.4,0.615,3
9,CABELL,1971(2),FLEM,11,0.09827,3.348,-0.256,4
10,LEMMEL,1982(1),CAP(34),3,95.9,2.086,0.032,5
11,POPOVIC,1953(2),FF(35),13,571.1,2.211,0.119,6
12,POPOVIC,1955(2),"FFH(33,33)",13,844.72,3.147,0.136,7
13,KEITH,1968(2),"FFH(33,33)",14,834.15,1.371,-0.608,8
14,KEITH,1968(2),"FFH(33,35)",14,889.01,1.446,-1.383,9
15,KEITH,1968(2),"FFH(39,39)",14,1884.4,0.949,-1.014,10
16,BIGHAM,1975(2),"FFH(33,33)",15,835.2,0.659,-1.071,11
17,JAFFEY,1955(2),FF(41)/FF(39),17,1.3552,1.424,0.823,12
18,WHITE,1967(2),FF(39)/FF(35),18,1.3583,2.139,-0.932,13
19,WHITE,1967(2),FF(41)/FF(35),18,1.8806,2.802,0.477,14
20,VIDAL,1970(2),FF(33)/FF(35),2,0.932,0.966,0.495,15
21,BIGHAM,1975(2),FF(33)/FF(35),15,0.9323,0.45,1.134,16
22,SWEET,1973(2),"FFH(39,39)/FFH(34,35)",2,1.3544,1.414,-0.263,17
23,BIGHAM,1975(2),"FFH(39,39)/FFH(33,33)",15,2.2796,0.669,1.156,18
24,BIGHAM,1975(2),"FFH(39,39)/FFH(33,35)",15,2.1239,0.709,1.714,19
25,BIGHAM,1975(2),F1BIG,15,0.5527,0.562,-0.859,20
26,INGHRAM,1956(2),CAP(33)/FF(33),2,0.09403,3.19,1.324,24
27,CORNISH,1960(2),CAP(35)/FF(35),2,0.188,7.447,1.156,25
28,OKAZAKI,1964(2),CAP(33)/FF(33),20,0.0902,1.731,0.09,26
29,OKAZAKI,1964(2),CAP(35)/FF(35),20,0.1705,1.056,-0.73,27
30,LISMAN,1967(2),CAP(33)/FF(33),21,0.093,2.128,1.486,28
31,LISMAN,1967(2),CAP(35)/FF(35),21,0.1712,0.886,-0.405,29
32,CONWAY,1967(2),CAP(33)/FF(33),21,0.0851,4.935,-1.181,30
33,CONWAY,1967(2),CAP(35)/FF(35),21,0.1705,4.223,-0.182,31
34,DURHAM,1967(2),CAP(35)/FF(35),22,0.1746,1.145,1.394,32
35,DURHAM,1967(2),CAP(39)/FF(39),22,0.3882,1.52,-0.679,33
36,CABELL,1971(2),CAP(33)/FF(33),23,0.0857,3.048,-1.669,34
37,CABELL,1971(2),CAP(35)/FF(35),23,0.1696,1.759,-0.742,35
38,CABELL,1971(2),CAP(39)/FF(39),23,0.3812,4.808,-0.601,36
39,DEBOISBLANC,1961(2),F1ETA(33)/F1ETA(35),24,1.115,0.717,1.599,37
40,FAST,1960(2),F1ETA(39)/F1ETA(35),25,0.997,1.625,0.004,38
41,FAST,1960(2),F1ETA(41)/F1ETA(35),25,1.0528,1.653,0.407,39
42,CABELL,1965(2),F3ETA(33) / F3ETA(35),26,1.0461,2.357,0.533,40
43,CABELL,1965(2),F3ETA(39)/F3ETA(35),26,1.6079,2.403,-0.733,41
44,CABELL,1965(2),F3ETA(33)/F3ETA(35),26,1.0309,3.919,-0.051,42
45,CABELL,1965(2),F3ETA(39) / F3ETA(35),26,1.6223,4.161,-0.206,43
46,GWIN,1962(2),F2ETA(33)/F2ETA(35),27,0.953,1.414,0.146,44
47,GWIN,1962(2),F2ETA(39)/F2ETA(35),27,1.631,1.414,-0.429,45
48,GWIN,A1962(2),F3ETA(33),28*,744.7,0.537,0.612,46
49,GWIN,A1962(2),F3ETA(35),28,722.7,0.54,1.057,47
50,LAPONCHE,1972(2),F3ETA(39)/F3ETA(35),7,1.6058,1.107,-1.711,48
51,LAPONCHE,1972(2),F3ETA(41)/F3ETA(39),7,1.4687,3.58,0.759,49
52,ALIKHANOV,1956(2),F3ETA(33)/F3ETA(35),29,1.039,3.561,0.163,50
53,ALIKHANOV,1956(2),F3ETA(39)/F3ETA(35),29,1.565,6.709,-0.678,51
54,MUELHAUS,1959(2),F3ETA(33) / F3ETA(35),30,1.0221,1.811,-0.586,52
55,MUELHAUS,1959(2),F3ETA(39)/F3ETA(35),30,1.6043,2.271,-0.876,53
56,EGELSTAFF,1954(1),ABS(35)+SCR(35),5,724.33,3.59,1.088,62
57,MELKONIAN,1953(1),ABS(35)+SCR(35),5,694.32,2.016,-0.123,63
58,PALEVSKY,1954(1),ABS(35) + SCR(35),5,700.0,0.7,0.428,64
59,NITIKIN,1955(1),ABS(35)+SCR(35),5,710.0,2.8,0.596,65
60,SIMPSON,1960(1),ABS(35)+SCR(35),5,690.0,1.4,-0.596,66
61,SAFFORD,1959(1),ABS(35)+SCR(35),5,698.3,0.3,0.448,68
62,BLOCK,1960(1),ABS(35)+SCR(35),5,693.32,0.721,-0.544,69
63,SAPLAKOGLU,1961(1),ABS(35)+SCR(35),35,694.0,0.7,0.112,70
64,GERASIMOV,1962(1),ABS(35),5,670.31,2.089,-0.823,71
65,ZIMMERMANN,1955(1),ABS(39)+SCR(39),5,1022.5,1.271,-0.254,72
66,NITIKIN,1955(1),ABS(39)+SCR(39),5,1040.5,2.979,0.439,73
67,BOLLINGER,1958(1),ABS(39)+SCR(39),5,1030.0,1.0,-0.236,74
68,PATTENDEN,A1956(1),ABS(39)+SCR(39),5,1012.5,3.003,-0.438,75
69,MUETHER,1954(1),ABS(33)+SCR(33),5,597.27,2.344,0.724,77
70,NITIKIN,1955(1),ABS(33)+SCR(33),5,580.0,3.638,-0.47,78
