,Author,Reference,MeasureFunc,Notes,InputValue,Uncertainty,WeightedResidual,No
71,PATTENDEN,1956(1),ABS(33)+SCR(33),5,590.0,2.5,0.508,79
72,GREEN,1957(1),ABS(33),5,574.26,3.483,-0.098,80
73,SIMPSON,1960(1),ABS(33)+SCR(33),5,587.27,0.8,0.029,81
74,SAFFORD,1960(1),ABS(33)+SCR(33),5,587.0,0.85,-0.611,83
75,BLOCK,1960(1),ABS(33)+SCR(33),5,587.0,0.5,0.045,84
76,SIMPSON,1961(1),ABS(41)+SCR(41),5,1386.6,3.606,0.025,85
77,CRAIG,1964(1),ABS(41)+SCR(41),5,1383.0,3.0,-0.119,86
78,SMITH,1984(3),ABS(41)+SCR(41),31,1395.6,1.433,0.563,87
79,LEMMEL,1982(1),SCA(33),3,12.306,5.688,0.171,88
80,LEMMEL,1982(1),SCA(33)-SCR(33),3,1.2006,49.977,-0.115,89
81,LEMMEL,1982(1),SCA(35),3,16.508,7.875,0.404,90
82,LEMMEL,1982(1),SCA(35)-SCR(35),3,1.7008,44.097,-0.1,91
83,LEMMEL,1982(1),SCA(39),3,8.0037,12.494,0.107,92
84,LEMMEL,1982(1),SCA(41),3,12.006,21.567,-0.07,94
85,DERUYTTER,1974(1),"FH1(39,39)",5,1812.1,0.454,1.165,96
86,DERUYTTER,1973(1),"FH1(34,35)",5,1439.1,0.445,1.117,97
87,DERUYTTER,1961(1),FIS(35),5,589.37,1.325,0.844,98
88,WHITE,1967(1),FIS(39)/FIS(35),18,1.253,1.8,-1.323,99
89,WHITE,1967(1),FIS(41)/FIS(35),18,1.763,2.751,0.551,100
90,BERCEANO,1977(1),"FH1(34,35)",5,1443.0,0.791,0.975,101
91,RAFFLE,1959(1),"FH1(33,33)",5,834.26,3.302,-0.385,102
92,RAFFLE,1959(1),FIS(35),5,581.97,3.092,-0.045,103
93,RAFFLE,1959(1),"FH1(39,39)",5,1714.8,2.843,-1.8,104
94,RAFFLE,1956(1),FIS(41)/FIS(39),5,1.3319,6.0,-0.27,105
95,MASLIN,1965(1),FIS(35),5,583.71,1.449,0.109,106
96,SAPLAKOGLU,1959(1),FIS(35),5,593.17,2.232,0.785,107
97,WATANBE,1964(1),FIS(41),5,985.45,4.569,-0.587,108
98,FRAYSSE,1965(1),"FH1(39,39)/FH1(34,35)",5,1.2425,1.557,-0.843,109
99,BORCEA,1970(1),"FH1(39,39) / FH1(34,35)",5,1.2578,1.624,-0.05,110
100,BOLDEMAN,1977(1),NUB(52),5,3.7549,0.431,-0.783,111
101,BOLDEMAN,1980(1),NUB(33)/NUB(52),5,0.66049,0.255,-0.027,112
102,BOLDEMAN,1980(1),NUB(35)/NUB(52),5,0.64318,0.255,-1.636,113
103,BOLDEMAN,1980(1),NUB(39)/NUB(52),5,0.76614,0.243,0.617,114
104,BOLDEMAN,1980(1),NUB(41)/NUB(52),5,0.78028,0.231,-0.959,115
105,SPENCER,1982(1),NUB(52),5,3.7831,0.221,1.856,116
106,GWIN,1984(1),NUB(33)/NUB(52),32,0.65996,0.34,-1.009,117
107,GWIN,1984(1),NUB(35)/NUB(52),32,0.64701,0.265,0.663,118
108,GWIN,1984(1),NUB(39)/NUB(52),32,0.7653,0.257,0.157,119
109,GWIN,1984(1),NUB(41)/NUB(52),32,0.78423,0.29,0.978,120
110,HOPKINS,1963(1),NUB(52),5,3.7767,0.838,0.287,121
111,HOPKINS,1963(1),NUB(33)/NUB(52),5,0.65483,0.895,-1.261,122
112,HOPKINS,1963(1),NUB(35)/NUB(52),5,0.64587,0.838,0.0,123
113,HOPKINS,1963(1),NUB(39)/NUB(52),5,0.75047,0.996,-1.943,124
114,ASPLUND,1963(1),NUB(52),5,3.791,1.066,0.578,125
115,CONDE,1965(1),NUB(35)/NUB(52),5,0.64222,0.847,-0.671,126
116,WHITE,1968(1),NUB(52),33*,3.8194,1.033,1.314,127
117,AXTON,A1985(3),NUB(52),33*,3.7547,0.3,-1.148,128
118,COLV/AXT,1966(1),NUB(52),33*,3.7299,0.806,-1.254,129
119,COLV/ULL,1965(1),NUB(52),5,3.7405,0.438,-1.651,130
120,COLVIN,1965(1),NUB(33)/NUB(35),5,1.0204,0.587,-0.821,131
121,COLVIN,1965(1),NUB(39)/NUB(35),5,1.1835,0.675,-0.116,132
122,COLVIN,1965(1),NUB(41)/NUB(35),5,1.2102,0.905,-0.051,133
123,COLVIN,1965(1),NUB(35)/NUB(52),5,0.64334,0.472,-0.832,134
124,MATHER,1964(1),NUB(33)/NUB(52),5,0.67093,1.235,1.051,135
125,MATHER,1964(1),NUB(35)/NUB(52),5,0.64145,0.537,-1.282,136
126,MATHER,1964(1),NUB(39)/NUB(52),5,0.77307,1.122,0.931,137
127,ALEK-ROV,1981(1),NUB(52),33*,3.7618,0.483,-0.32,138
128,SMITH,1984(1),NUB(52),33*,3.7678,0.303,0.024,139
129,EDWARDS,1982(1),NUB(52),33*,3.7641,0.711,-0.131,140
130,BOZ-NESH,1977(1),NUB(52),33,3.7475,0.58,-0.922,141
131,DEVOLPI,1972(1),NUB(52),33*,3.7507,0.463,-0.97,142
132,ZHANG,1981(1),NUB(52),5,3.7534,0.49,-0.768,143
133,SPIEGEL,1981(1),NUB(52),33,3.7828,0.759,0.53,144
134,SMITH,1984(1),ETA(33),5,2.2972,0.35,-0.083,145
135,SMITH,1984(1),ETA(35),5,2.0842,0.386,0.537,146
136,SMITH,1984(1),ETA(39),5,2.112,0.38,-0.333,147
137,SMITH,1984(1),ETA(41),5,2.169,0.419,-0.223,148
138,MACKLIN,1960(1),ETA(33),5,2.3121,0.375,1.642,149
139,MACKLIN,1960(1),ETA(35),5,2.0757,0.382,-0.526,150
140,MACKLIN,1962(1),ETA(39),5,2.1163,0.851,0.091,151
141,LLOYD,1982(1),ETA(39)/FIS(39),4,0.002782,2.072,-0.807,165
142,SPENCER,1985(3),ABS(35)+SCR(35),*,690.0,1.0,-0.875,166
143,SPENCER,1985(3),ABS(39)+SCR(39),*,1025.8,1.0,0.003,167
144,WALLNER,2015 PRL 112 (2014),CA,?,99.5,2.0,,181
145,WALLNER,2015 PRL 112 (2014),CA,?,101.5,2.0,,182
146,Reich (eval),1985,HLF(33),NA,1.5919,1e-06,,168
147,Reich (eval),1985,HLF(34),NA,2.455,1e-06,,169
148,Reich (eval),1985,HLF(39),NA,2.411,1e-06,,170
149,Reich (eval),1985,HLF(41),NA,1.4329,1e-06,,171
150,OLEKSA,"1958 - Phys Rev.109,1645(1958)",SCR(33),,12.5,4.0,,190
151,GREEN,1974,SCR(33),,12.3,5.6,,191
152,VERTEBNIY,1974,SCR(33),,13.2,2.2,,192
153,BLOCK,1960,SCR(33),,11.0,18.0,,193
154,BLOCK,1960,SCR(35),,13.0,15.0,,194
155,CEULEMANS,1970,SCR(35),,14.3,3.5,,195
156,FOOTE,1958,SCR(35),,15.0,6.0,,196
157,SAFFORD,1961,SCR(39),,11.0,30.0,,197
158,PSHENICHNYJ,1978,ABS(33) + SCR(33),,587.9,0.5,,198
159,HARVEY,1979,ABS(33) + SCR(33),,590.0,0.8,,199
160,MOORE,1979,ABS(33) + SCR(33),,587.0,1.0,,200
161,SPENCER,1987,ABS(35) + SCR(35),,690.0,0.8,,201
162,LEONARD,1954,ABS(35) + SCR(35),,702.0,1.0,,202
163,ANTONOV,1986,ABS(35) + SCR(35),,695.0,2.4,,203
164,GUERASIMOV,1962,ABS(35) + SCR(35),,687.0,1.2,,204
165,ANDERSON,1945,ABS(39) + SCR(39),,1045.0,2.4,,205
166,HAVENS,1954,ABS(39) + SCR(39),,1067.0,1.9,,206
167,PALEVSKY,1955,ABS(39) + SCR(39),,1034.0,1.0,,207
168,LEONARD,1956,ABS(39) + SCR(39),,1055.0,1.3,,208
169,STOUGHTON & HALPERIN,1959,ABS(39) + SCR(39),,1030.0,3.9,,209
170,SPENCER,1987,ABS(39) + SCR(39),,1025.0,0.6,,210
